RefDes,MPN,Manufacturer,Description,Qty,Unit Price,Total Price,Supplier,Lead Time
U1,ATMEGA328P-PU,Microchip Technology,8-bit microcontroller 32KB Flash DIP-28,1,$2.85,$2.85,Digi-Key,Stock
U2,FT232RL,FTDI,USB to serial UART interface IC SSOP-28,1,$4.50,$4.50,Mouser,2 weeks
U3,AMS1117-3.3,Advanced Monolithic Systems,LDO voltage regulator 3.3V 1A SOT-223,1,$0.45,$0.45,LCSC,Stock
Q1,2N3904,ON Semiconductor,NPN bipolar transistor 40V 200mA TO-92,2,$0.12,$0.24,Digi-Key,Stock
Q2,IRF520N,Infineon,N-channel MOSFET 100V 9.2A TO-220,1,$1.25,$1.25,Newark,1 week
C1,16TXW470MEFC8X20,Rubycon,Aluminum electrolytic capacitor 470µF 16V,1,$0.58,$0.58,Mouser,Stock
C2,C0603C104K4RACTU,KEMET,Multilayer ceramic capacitor 100nF 16V X7R 0603,10,$0.032,$0.32,LCSC,Stock
C3,C0603C220J5GACTU,KEMET,Multilayer ceramic capacitor 22pF 50V C0G 0603,2,$0.045,$0.09,LCSC,Stock
R1,CFR-25JB-52-330R,Yageo,Carbon film resistor 330Ω 5% 1/4W,4,$0.02,$0.08,Digi-Key,Stock
R2,ERJ-3EKF1002V,Panasonic,Thick film resistor 10kΩ 1% 0603,6,$0.012,$0.072,Mouser,Stock
R3,CRCW0603220RFKEA,Vishay Dale,Thick film resistor 220Ω 1% 0603,2,$0.015,$0.03,Newark,Stock
L1,744773220,Würth Elektronik,Ferrite bead 22Ω 3A 0603,4,$0.085,$0.34,Digi-Key,3 days
D1,1N4007,Vishay Semiconductor,Rectifier diode 1A 1000V DO-41,4,$0.08,$0.32,Mouser,Stock
D2,BAT85,Vishay Semiconductor,Schottky diode 30V 200mA SOD-123,2,$0.18,$0.36,Digi-Key,Stock
LED1,LTST-C170KFKT,Lite-On,LED red 2mA 20mcd 0603 SMD,1,$0.15,$0.15,LCSC,Stock
LED2,LTST-C170TBKT,Lite-On,LED blue 2mA 28mcd 0603 SMD,1,$0.15,$0.15,LCSC,Stock
SW1,B3F-1000,Omron,Tactile switch SPST-NO 50mA 12V,2,$0.85,$1.70,Digi-Key,Stock
J1,PJ-102AH,CUI Devices,DC power jack 2.1mm center positive,1,$1.25,$1.25,Mouser,1 week
J2,87520-0010,Molex,Connector header male 10 position 2.54mm,1,$0.75,$0.75,Digi-Key,Stock
Y1,HC49/4H-8.000MABJB,Citizen Finedevice,Crystal 8MHz ±30ppm 20pF HC-49/4H,1,$0.95,$0.95,Newark,2 weeks
IC1,28C64B-15PU,Microchip Technology,EEPROM 64Kbit parallel 150ns DIP-28,1,$3.85,$3.85,Digi-Key,Stock
SOC1,DIP-28,Aries Electronics,IC socket DIP 28-position tin,1,$0.65,$0.65,Mouser,Stock
FB1,BLM18PG471SN1D,Murata Electronics,Ferrite bead 470Ω 1A 0603,2,$0.12,$0.24,LCSC,Stock
TP1,5019,Keystone Electronics,Test point PC mount red,5,$0.35,$1.75,Digi-Key,Stock
TP2,5020,Keystone Electronics,Test point PC mount black,5,$0.35,$1.75,Digi-Key,Stock
